Age,Emotion,Entry Time
17.82,Sad,2024-12-22 10:21:53.744079
13.66,Sad,2024-12-22 10:21:53.872411
18.74,Sad,2024-12-22 10:21:54.031947
18.37,Sad,2024-12-22 10:21:54.255461
17.96,Sad,2024-12-22 10:21:54.392613
18.33,Sad,2024-12-22 10:21:54.563459
18.27,Sad,2024-12-22 10:21:54.745367
16.57,Sad,2024-12-22 10:21:54.928317
18.26,Sad,2024-12-22 10:21:55.071048
15.95,Happy,2024-12-22 10:21:55.206904
17.76,Happy,2024-12-22 10:21:55.321402
24.36,Happy,2024-12-22 10:21:55.453462
